,itemid,comment_id,comment_all,word,datamonth
59,10050303289,277225010883,不知道好用不，以后追评。,不#=知道#=好用#=不#=，#=以后#=追评#=。,201606
60,10050303289,262326832891,东西收到还没用，快递送来盒子都烂了，送的陶瓷剥刀根本是塑料的，售后还死不承认，外面包装壳和里面东西都不符，本来别家便宜10块都没买，冲着赠品陶瓷剥刀的，结果很失望，沟通还反问我想怎么样！快递到了连个电话都不打，直接放单位楼下门卫那，不是我看状态根本不知道货到的！很不满意的一次购物，不会有下次了！,东西#=收到#=还#=没用#=，#=快递#=送来#=盒子#=都#=烂#=了#=，#=送#=的#=陶瓷#=剥刀#=根本#=是#=塑料#=的#=，#=售后#=还#=死不承认#=，#=外面#=包装#=壳#=和#=里面#=东西#=都#=不符#=，#=本来#=别家#=便宜#=10#=块#=都#=没#=买#=，#=冲着#=赠品#=陶瓷#=剥刀#=的#=，#=结果#=很#=失望#=，#=沟通#=还#=反问#=我#=想#=怎么样#=！#=快递#=到#=了#=连个#=电话#=都#=不#=打#=，#=直接#=放#=单位#=楼下#=门卫#=那#=，#=不是#=我#=看#=状态#=根本#=不#=知道#=货到#=的#=！#=很#=不#=满意#=的#=一次#=购物#=，#=不会#=有#=下次#=了#=！,201601
61,10050303289,277074953416,大爱,大爱,201606
62,10050303289,302063979888,好好好好好,好好#=好好#=好,201702
63,10050303289,273119630476,买了这款心情不好，1榨果汁时转速达不到，搅拌无力，果肉不烂，2产品参数里写的调速是二个挡，实际就一个挡。3赠送的去皮刀没有刀刃不能用。而且售后态度不好，这款只能做奶昔和加了水的果汁，希望想买的人们要好好考虑再说。,买#=了#=这款#=心情#=不好#=，#=1#=榨#=果汁#=时#=转速#=达#=不到#=，#=搅拌#=无力#=，#=果肉#=不烂#=，#=2#=产品#=参数#=里#=写#=的#=调速#=是#=二个#=挡#=，#=实际#=就#=一个#=挡#=。#=3#=赠送#=的#=去皮#=刀#=没有#=刀刃#=不能#=用#=。#=而且#=售后#=态度#=不好#=，#=这#=款#=只能#=做#=奶昔#=和#=加#=了#=水#=的#=果汁#=，#=希望#=想#=买#=的#=人们#=要#=好好#=考虑#=再说#=。,201605
64,10050303289,281228029543,用了两次感觉还不错，性价比高,用#=了#=两次#=感觉#=还#=不错#=，#=性价比#=高,201608
65,10050303289,275775743322,收到了，已经使用，很好，就是声音大了点。夏天到了，可以自己弄芒果冰沙喝了,收到#=了#=，#=已经#=使用#=，#=很#=好#=，#=就是#=声音#=大#=了#=点#=。#=夏天#=到#=了#=，#=可以#=自己#=弄#=芒果#=冰沙#=喝#=了,201606
66,10050303289,273346945354,很好，很喜欢。而且声音也不大，总算淘到宝了,很#=好#=，#=很#=喜欢#=。#=而且#=声音#=也#=不大#=，#=总算#=淘到#=宝#=了,201605
67,10050303289,280267906533,还不错，第二次买了，服务态度很好,还#=不错#=，#=第二次#=买#=了#=，#=服务态度#=很#=好,201607
68,10050303289,287292107677,买来给病人打果汁喝的，用了几次表示很满意～,买来#=给#=病人#=打#=果汁#=喝#=的#=，#=用#=了#=几次#=表示#=很#=满意#=～,201610
69,10050303289,304338810839,此用户没有填写评论!,此#=用户#=没有#=填写#=评论#=!,201703
70,10050303289,302539853792,暂时用着还好 会追加的。,暂时#=用#=着#=还好#= #=会#=追加#=的#=。,201703
71,10050303289,282596560569,不错，价格很便宜，很像正品。,不错#=，#=价格#=很#=便宜#=，#=很#=像#=正品#=。,201608
72,10050303289,301513531714,昨天收到，刚刚用了一次，除了声音大了点，其他方面感觉还不错的，好评一下吧。,昨天#=收到#=，#=刚刚#=用#=了#=一次#=，#=除了#=声音#=大#=了#=点#=，#=其他#=方面#=感觉#=还#=不错#=的#=，#=好评#=一下#=吧#=。,201702
73,10050303289,293372373704,好用,好用,201611
74,10050303289,273580181472,挺好的,挺#=好#=的,201605
75,10050303289,283714384471,现在用着好有力，久了就不知，全5星,现在#=用#=着#=好#=有力#=，#=久#=了#=就#=不知#=，#=全#=5#=星,201608
76,10050303289,273119630476,买了这款心情不好，1榨果汁时转速达不到，搅拌无力，果肉不烂，2产品参数里写的调速是二个挡，实际就一个挡。3赠送的去皮刀没有刀刃不能用。而且售后态度不好，这款只能做奶昔和加了水的果汁，希望想买的人们要好好考虑再说。,买#=了#=这款#=心情#=不好#=，#=1#=榨#=果汁#=时#=转速#=达#=不到#=，#=搅拌#=无力#=，#=果肉#=不烂#=，#=2#=产品#=参数#=里#=写#=的#=调速#=是#=二个#=挡#=，#=实际#=就#=一个#=挡#=。#=3#=赠送#=的#=去皮#=刀#=没有#=刀刃#=不能#=用#=。#=而且#=售后#=态度#=不好#=，#=这#=款#=只能#=做#=奶昔#=和#=加#=了#=水#=的#=果汁#=，#=希望#=想#=买#=的#=人们#=要#=好好#=考虑#=再说#=。,201605
77,10050303289,309070150972,先好评吧 帮别人买的 不知道质量怎么样,先#=好评#=吧#= #=帮别人#=买#=的#= #=不#=知道#=质量#=怎么样,201704
78,10050303289,282451218782,好,好,201608
79,10050303289,277631188502,，习惯好评,，#=习惯#=好评,201606
80,10050303289,276730967449,价格很实惠，功能算是全面，但是打肉确实真的不大好打，清理起来也麻烦，会粘肉在里面，试打到新鲜辣椒蒜，果汁，饺子肉，有限定时间的，超过时间会自己断电，过几分钟之后才能重新使用，搅拌的时候会有点臭胶味，有燥音，还好底盘有固定的小吸盘，还不错！辛苦店家把关了，谢谢！,价格#=很#=实惠#=，#=功能#=算是#=全面#=，#=但是#=打肉#=确实#=真的#=不大好#=打#=，#=清理#=起来#=也#=麻烦#=，#=会#=粘肉#=在#=里面#=，#=试打#=到#=新鲜#=辣椒#=蒜#=，#=果汁#=，#=饺子#=肉#=，#=有#=限定#=时间#=的#=，#=超过#=时间#=会#=自己#=断电#=，#=过#=几分钟#=之后#=才能#=重新#=使用#=，#=搅拌#=的#=时候#=会#=有点#=臭#=胶味#=，#=有#=燥音#=，#=还好#=底盘#=有#=固定#=的#=小#=吸盘#=，#=还#=不错#=！#=辛苦#=店家#=把关#=了#=，#=谢谢#=！,201606
81,10050303289,280267906533,还不错，第二次买了，服务态度很好,还#=不错#=，#=第二次#=买#=了#=，#=服务态度#=很#=好,201607
82,10050303289,276434725720,挺好的，不错哦,挺#=好#=的#=，#=不错#=哦,201606
83,10050303289,277409559706,宝贝挺好的。,宝贝#=挺#=好#=的#=。,201606
84,10050303289,276797604476,还行吧，这价钱可以了,还行#=吧#=，#=这#=价钱#=可以#=了,201606
85,10050303289,276260913266,给家里买的，昨天拿到东西试用了，都挺好，唯一不足就是声音太大,给#=家里#=买#=的#=，#=昨天#=拿到#=东西#=试用#=了#=，#=都#=挺#=好#=，#=唯一#=不足#=就是#=声音#=太#=大,201606
86,10050303289,285289187054,质量很好,质量#=很#=好,201609
87,10050303289,281228029543,用了两次感觉还不错，性价比高,用#=了#=两次#=感觉#=还#=不错#=，#=性价比#=高,201608
88,10050303289,273795517990,东西很不错，和卖家说的一样。,东西#=很#=不错#=，#=和#=卖家#=说#=的#=一样#=。,201605
89,10050303289,282596560569,不错，价格很便宜，很像正品。,不错#=，#=价格#=很#=便宜#=，#=很#=像#=正品#=。,201608
90,10050303289,304338810839,此用户没有填写评论!,此#=用户#=没有#=填写#=评论#=!,201703
91,10050303289,280755010106,帮朋友买的第三个了，质量不错，很实用,帮#=朋友#=买#=的#=第三个#=了#=，#=质量#=不错#=，#=很#=实用,201607
92,10050303289,268181610004,还不错，给宝宝打辅食用,还#=不错#=，#=给#=宝宝#=打辅#=食用,201603
